para,emerged_GDD,emerged_KDD,emerged_ppt,emerged_EVI,branching_GDD,branching_KDD,branching_ppt,branching_EVI,blooming_GDD,blooming_KDD,blooming_ppt,blooming_EVI,setting_pods_GDD,setting_pods_KDD,setting_pods_ppt,setting_pods_EVI,turning_yellow_GDD,turning_yellow_KDD,turning_yellow_ppt,turning_yellow_EVI,falling_leaf_GDD,falling_leaf_KDD,falling_leaf_ppt,falling_leaf_EVI,yield
emerged_GDD,,,,,,,,,,,,,,,,,,,,,,,,,
emerged_KDD,,,,,,,,,,,,,,,,,,,,,,,,,
emerged_ppt,1.05,0.38,,,,,,,,,,,,,,,,,,,,,,,
emerged_EVI,-0.1,1.01,,,,,,,,,,,,,,,,,,,,,,,
branching_GDD,0.45,,,,,,,,,,,,,,,,,,,,,,,,
branching_KDD,,0.83,,,,,,,,,,,,,,,,,,,,,,,
branching_ppt,0.35,-0.8,,,0.98,-0.1,,,,,,,,,,,,,,,,,,,
branching_EVI,0.58,0.21,,0.31,-0.25,-0.24,,,,,,,,,,,,,,,,,,,
blooming_GDD,-0.64,,,,0.34,,,,,,,,,,,,,,,,,,,,
blooming_KDD,,0.02,,,,0.37,,,,,,,,,,,,,,,,,,,
blooming_ppt,-0.28,,,,,,,,0.52,,,,,,,,,,,,,,,,
blooming_EVI,0.03,-0.6,,-0.12,,-0.28,,0.91,0.4,-0.25,0.25,,,,,,,,,,,,,,
setting_pods_GDD,-0.29,,,,-0.06,,,,0.3,,,,,,,,,,,,,,,,
setting_pods_KDD,,-0.04,,,,,,,,0.27,,,,,,,,,,,,,,,
setting_pods_ppt,,-0.04,,,-0.35,0.06,,,,,,,1.43,-0.2,,,,,,,,,,,
setting_pods_EVI,-0.07,-0.5,0.16,,0.12,-0.23,,0.75,0.44,0.05,,1.35,0.33,-0.2,-0.1,,,,,,,,,,
turning_yellow_GDD,,,,,0.08,,,,-0.33,,,,0.61,,,,,,,,,,,,
turning_yellow_KDD,,0.26,,,,,,,,0.1,,,,0.82,,,,,,,,,,,
turning_yellow_ppt,-0.01,-0.35,,,0.17,,,,-0.15,-0.21,,,0.75,-0.4,,,0.62,-0.14,,,,,,,
turning_yellow_EVI,0.2,0.04,0.08,,,,,0.36,-0.05,0.11,,0.62,-0.32,-0.24,,1.3,0.22,0.2,,,,,,,
falling_leaf_GDD,,,,,,,,,-0.2,,,,,,,,0.56,,,,,,,,
falling_leaf_KDD,,,,,,,,,,,,,,,,,,0.27,,,,,,,
falling_leaf_ppt,,0.07,,,,-0.15,,,-0.29,-0.13,,,0.07,-0.35,,,0.42,-0.2,,,-0.19,-0.25,,,
falling_leaf_EVI,,0.32,,0.17,,,,-0.02,,0.1,,0.08,-0.38,0.22,,0.04,-0.14,,,0.77,0.24,0.2,,,
yield,-0.19,-0.4,0.24,,,,,,0.78,,,0.45,0.49,-0.76,,0.57,,0.12,0.12,0.59,,0.31,-0.14,-0.29,
